num,RMSE,DTM_KL1,DTM_KL01,DTM_KL001,Sammon,Trustworthiness,Continuity,Spearman,Steadiness,Cohesiveness,method
0,61087.6953125,0.0017034432385116816,0.011961103416979313,0.013311948627233505,0.9751894721643836,0.9945427314528252,0.999078831019542,0.7662825558833614,0.9633038487754361,0.7791839535959639,umap
1,61080.0703125,0.0020547332242131233,0.01688479632139206,0.016570961102843285,0.9753306938022609,0.9924255018127155,0.9993800291802989,0.8098750310536001,0.9651938522023826,0.9385444942613997,umap
2,61104.4765625,0.00215344550088048,0.013852709904313087,0.012159590609371662,0.9750820188047236,0.9943535016358652,0.9992484967724821,0.7642342711148513,0.95619390368252,0.9340312903081768,umap
3,61050.80078125,0.002639962127432227,0.03038691356778145,0.013050714507699013,0.9720232766220437,0.9956683835882925,0.9994191573083385,0.8179035503926023,0.9458120354342913,0.9322617125155765,umap
4,61089.85546875,0.0021419422701001167,0.01795240491628647,0.017780084162950516,0.9758854469811016,0.9959476965248917,0.9993647758422496,0.8003729734637414,0.9662024886280131,0.9264914315243905,umap
5,61098.71484375,0.001823892118409276,0.015987876802682877,0.013555855490267277,0.9763769636758156,0.9949699354496419,0.9990159386329472,0.7596452719910685,0.963166808252762,0.7979836818176956,umap
6,61065.12109375,0.002525055082514882,0.019578875973820686,0.01574142649769783,0.9737646241952223,0.9946885224157751,0.9993751657971527,0.7998894349638243,0.9579164858760377,0.9296248239936714,umap
7,61080.95703125,0.0026134513318538666,0.02147170901298523,0.0186204481869936,0.9742917326711411,0.996776019099832,0.9993373640463348,0.7736250337755028,0.9565468422964062,0.9312794382514625,umap
8,61121.4375,0.0018527789507061243,0.016049673780798912,0.017716920003294945,0.9793434696960481,0.996777566539924,0.9993677601909983,0.7813118963282567,0.9651160491962596,0.9051432269196122,umap
9,61114.42578125,0.0019762571901082993,0.01660124585032463,0.014096936210989952,0.978778882492846,0.9952164205500045,0.9991857149173224,0.7498896270207156,0.9551958238611689,0.8612590267375169,umap
10,61066.47265625,0.003045453457161784,0.03861906751990318,0.03001261316239834,0.9740176861406542,0.9882485188787691,0.9980009284640552,0.5568638448765558,0.9311477579963167,0.8823829789255333,densmap
11,61038.9453125,0.0008380907820537686,0.020561061799526215,0.03799334168434143,0.9697210218972677,0.9869622645680431,0.9932953842072686,0.7713736778792655,0.9380074073317725,0.9178597841176669,densmap
12,61002.7109375,0.00035010025021620095,0.013761649839580059,0.05126276612281799,0.9734807559872825,0.9890297550623397,0.9861820231673888,0.7090599589385095,0.944966461654521,0.8002270899622883,densmap
