num,RMSE,DTM_KL1,DTM_KL01,DTM_KL001,Sammon,Trustworthiness,Continuity,Spearman,Steadiness,Cohesiveness,method
0,91.8468246459961,0.0022015422582626343,0.03730218484997749,0.1663818359375,73.08974519951349,0.9548651702907022,0.9730457485776635,0.47457211660189114,0.882970047468138,0.764710862911183,umap
1,161.01715087890625,0.004370241425931454,0.05063623934984207,0.1634785234928131,213.8311884040499,0.9554360533083938,0.9662321720832359,0.4731765918679454,0.8833043569565269,0.7345846323596086,umap
2,82.45870208740234,0.002453512977808714,0.037796542048454285,0.17035627365112305,57.767294632445385,0.952071642896111,0.9699872379393656,0.47339481421748275,0.8877037256479912,0.7649632642572158,umap
3,114.27886962890625,0.0014288323000073433,0.04086930304765701,0.16526784002780914,112.91136932144893,0.9511130270438781,0.9748358467773361,0.5311463704741793,0.881283221475049,0.7653012471643477,umap
4,75.75237274169922,0.0012366424780339003,0.03385064750909805,0.17587465047836304,48.92749522120969,0.9488007559816071,0.9753136933987998,0.4880287464958379,0.8881552732120256,0.7633983544237819,umap
5,78.74598693847656,0.0020118593238294125,0.03440651297569275,0.18238504230976105,53.19338724793874,0.9531768763151742,0.9724953238251111,0.47348427627772655,0.8885740497376163,0.7634859207024005,umap
6,109.43611907958984,0.0019362708553671837,0.03488372266292572,0.15736284852027893,103.30486555143652,0.9530161328033668,0.9741188332943652,0.48123840331174167,0.8906222406603542,0.7659362630631814,umap
7,126.46533203125,0.002880176529288292,0.036696624010801315,0.18508854508399963,135.95714495364157,0.9529761904761904,0.9638448873821214,0.5050962787825544,0.8872226171029964,0.687136976070656,umap
8,129.1364288330078,0.0026128897443413734,0.03712550550699234,0.17098551988601685,140.94894946436153,0.9597809991427013,0.9681284584210116,0.4928621980439596,0.8928586425677382,0.7506578786072647,umap
9,90.70781707763672,0.001379538094624877,0.03607584536075592,0.16581270098686218,70.76413608239568,0.9541442599953238,0.9769586353362949,0.4762179365523988,0.8860232517983827,0.7670757959977662,umap
10,114.83979034423828,0.0010126286651939154,0.025182124227285385,0.06570283323526382,109.24345024689104,0.9577760891590679,0.9631064414309095,0.4865375101708796,0.8928827071044768,0.8024338644056369,densmap
11,97.84669494628906,0.0005071409395895898,0.015258925035595894,0.04037334769964218,79.04779095293537,0.9526020964850752,0.9664913101083313,0.4566546864089432,0.8804760361724612,0.8157492664030939,densmap
12,120.18248748779297,0.0008261781185865402,0.015260308980941772,0.04335538297891617,119.30381495802696,0.9625871911776167,0.9750808588574545,0.49589382761838646,0.8916744309276559,0.8098428709747612,densmap
13,120.35953521728516,0.0021210843697190285,0.02586260624229908,0.06068779155611992,122.00925082058339,0.9567741212688021,0.9606811628088224,0.4663158909149373,0.8904237581352241,0.7826866091052198,densmap
14,123.55286407470703,0.0018839314579963684,0.02303122542798519,0.05514559522271156,128.77841318090583,0.9590756760969527,0.9662857532538384,0.4853038854689917,0.8944170141647911,0.7922976171040881,densmap
15,90.35138702392578,0.0003455597907304764,0.011927865445613861,0.04158956930041313,68.35513669421321,0.9449468085106383,0.9693028602603071,0.46455834958125236,0.8534178089180952,0.8089445832119817,densmap
16,116.02103424072266,0.0011641127057373524,0.019585678353905678,0.05955544114112854,111.59417614637074,0.9622759332865716,0.9696228859792689,0.49677973122368063,0.8934653557113691,0.8028383192872481,densmap
17,94.58662414550781,0.000553768826648593,0.016033031046390533,0.039052754640579224,74.497965705534,0.9394191801106695,0.9638224807107786,0.4737217291497539,0.8604737210816451,0.8026935139988922,densmap
18,207.34164428710938,0.0012151370756328106,0.03799408674240112,0.16273826360702515,393.17409002256323,0.9175863143948251,0.9010341165926272,0.405991852237063,0.8069628210718098,0.44672387148482606,densmap
19,157.05532836914062,0.0008122213184833527,0.021072451025247574,0.09508375823497772,208.41782796739238,0.9563605720520614,0.9572207933910062,0.5196224364867937,0.8851770315199862,0.7078480846971296,densmap
20,3.9172332286834717,0.0008934400975704193,0.039132751524448395,0.14102232456207275,0.14434074118571594,0.8521154820356948,0.9415181006936326,0.38538591095934704,0.6517617047733568,0.6097648617180316,pca
21,9.040101051330566,0.0029090652242302895,0.04796220362186432,0.15174950659275055,0.6982360525331863,0.6795417348608838,0.7599553814979347,0.2542606659683961,0.2966758354122493,0.4317066743721816,pca
22,6.52949857711792,0.0014697767328470945,0.03421252220869064,0.12996625900268555,0.3526379387376932,0.7061618346192814,0.8728616241914114,0.27542428205576147,0.30888921473114395,0.43668058103614793,pca
23,8.016352653503418,0.001432923600077629,0.039044350385665894,0.1358708143234253,0.5264945462584407,0.6182132140908736,0.7841351024861662,0.30646949122253053,0.2678472154565543,0.4298872997022315,pca
24,3.8596913814544678,0.0009346948936581612,0.04136745631694794,0.14490222930908203,0.1381939795678841,0.8563615462551633,0.9481694723716,0.39606431864499575,0.6943736131384995,0.6557156283935008,pca
25,113.27404022216797,0.0008706931257620454,0.021402692422270775,0.1206418052315712,106.95612209613533,0.9719078793546878,0.9784520886914504,0.5076817856560734,0.9108974091826104,0.8248680573269677,tsne
26,115.63079071044922,0.0013650180771946907,0.02349952980875969,0.12207816541194916,112.51648827455327,0.9723248382822851,0.9752323474397943,0.49841319485683566,0.9050730304171207,0.8220999013602164,tsne
