num,RMSE,DTM_KL1,DTM_KL01,DTM_KL001,Sammon,Trustworthiness,Continuity,Spearman,Steadiness,Cohesiveness,method
0,1148.399169921875,0.0019064410589635372,0.034350473433732986,0.1946551501750946,0.9542203320373532,0.9263383838383838,0.9603030303030303,0.6725882079801477,0.9386796053617239,0.8685313425540535,umap
1,1148.5390625,0.0019881590269505978,0.036586955189704895,0.20431792736053467,0.9543534197135296,0.9303535353535354,0.9555681818181818,0.6910404266988923,0.9351384018626201,0.8640449447996882,umap
2,1142.4659423828125,0.0019066128879785538,0.034879520535469055,0.1923559308052063,0.94273469674582,0.9241035353535354,0.9563888888888888,0.6745076067370115,0.9322998694327077,0.8705504317557774,umap
3,1136.259033203125,0.0019127558916807175,0.03305340185761452,0.21162371337413788,0.931019738666986,0.9197979797979798,0.9368308080808081,0.6924126509057604,0.9512265215775778,0.8192651066835979,umap
4,1132.9925537109375,0.00242424663156271,0.03847740590572357,0.18134984374046326,0.9236074008571449,0.8941035353535354,0.8646338383838383,0.6128327589380007,0.9119518299132077,0.7099536125984979,umap
5,1153.288330078125,0.002055830555036664,0.03873366117477417,0.23989559710025787,0.9635436991204908,0.9231060606060606,0.9497853535353535,0.6618474480768463,0.9498147755536627,0.8182528404124804,umap
6,1126.599609375,0.0021831996273249388,0.019252412021160126,0.16074243187904358,0.9155308649594807,0.9247474747474748,0.8967550505050506,0.665751261369695,0.9194675388650706,0.7598241791558783,umap
7,1145.98046875,0.0018768995068967342,0.033457837998867035,0.19421735405921936,0.9495159297682103,0.9250883838383839,0.9579166666666666,0.6590154114280699,0.9345114401081258,0.8608797095384834,umap
8,1153.679443359375,0.001806134358048439,0.03478486090898514,0.22296467423439026,0.9646395202961312,0.9231060606060606,0.9498358585858586,0.6750854056415616,0.9492463220035476,0.8150468714217931,umap
9,1146.38037109375,0.0020019137300550938,0.03511284291744232,0.23571214079856873,0.950535868926583,0.923989898989899,0.9463510101010101,0.6949633792300585,0.9413094420675616,0.8141546958232816,umap
10,1138.127685546875,6.090744864195585e-05,0.002294803038239479,0.020830178633332253,0.9432603831725018,0.9671717171717171,0.9618560606060607,0.6637292154223181,0.9140096732033017,0.8937370494380843,densmap
11,1131.880126953125,0.0002900055260397494,0.005149004515260458,0.02412768080830574,0.929871101634777,0.9633080808080808,0.9678787878787879,0.682367177889294,0.9342577093327767,0.8864295284134567,densmap
12,1130.100341796875,0.00036332831950858235,0.006388155277818441,0.021474093198776245,0.9275341357116346,0.9385858585858586,0.9125757575757576,0.6706736962759431,0.9431488077915225,0.7058660903443312,densmap
13,1143.9552001953125,6.225066317711025e-05,0.002341188956052065,0.015148085542023182,0.9535183599073339,0.9502777777777778,0.9596843434343434,0.659442173948247,0.930642070118668,0.8664790893304861,densmap
14,1141.450927734375,0.00012056517880409956,0.004218885209411383,0.020453834906220436,0.951190974237423,0.9616919191919192,0.9534722222222223,0.6230123697960077,0.9249505301337088,0.8807789945686614,densmap
