num,RMSE,DTM_KL1,DTM_KL01,DTM_KL001,Sammon,Trustworthiness,Continuity,Spearman,Steadiness,Cohesiveness,method
0,112411.2421875,0.0007955027977004647,0.02067619375884533,0.11761725693941116,0.9966210775697727,0.9891081901937329,0.9915402228224255,0.48059190157236914,0.8541978507316164,0.7547768802337194,umap
1,112350.5,0.0007469248957931995,0.021881576627492905,0.09722762554883957,0.9954768905252177,0.9868557992251653,0.9946233052759154,0.49906275943608475,0.8728419296654724,0.832536967235183,umap
2,112319.125,0.0006772901397198439,0.02085624635219574,0.09265904128551483,0.9948913338422513,0.9860744088045218,0.9948087043714174,0.48292769673512176,0.8696959599954353,0.8354508172271644,umap
3,112365.015625,0.0007099483627825975,0.020269757136702538,0.09518861025571823,0.9957545184303261,0.9870765170418878,0.9944852235904866,0.4989768762528395,0.8755724057326523,0.8246795958178771,umap
4,112322.59375,0.0006412174552679062,0.01973792351782322,0.09112320095300674,0.9949640873392045,0.9864975803047328,0.9948051241174856,0.49990059024208133,0.8673896112418285,0.8324858112321478,umap
5,112319.765625,0.000681994715705514,0.019874457269906998,0.09014151990413666,0.9949095088427666,0.9859654771595523,0.9947794575673384,0.4853904968528516,0.8699207272169311,0.8264035024062821,umap
6,112309.8046875,0.0006830007769167423,0.020202267915010452,0.0916699767112732,0.9947246510114918,0.9862311658685684,0.9947853359572402,0.48947859096942514,0.8708296726684883,0.8260767848216837,umap
7,112370.4609375,0.0007276618853211403,0.02095654048025608,0.09817969799041748,0.9958492215565702,0.9866538051688707,0.9945793745925344,0.48946784194108595,0.8621327007107674,0.8226805933191383,umap
8,112317.6171875,0.0006380090489983559,0.02006632462143898,0.0897119864821434,0.9948741973114715,0.9867215397027179,0.9948038903813333,0.4963036949476488,0.8583753148537788,0.8343044396191325,umap
9,112300.2734375,0.000627539586275816,0.019202888011932373,0.08692850917577744,0.9945519793471901,0.9870598736992853,0.9948878328214941,0.5091732394079975,0.8657796188086002,0.8293726683056765,umap
10,112271.5390625,0.00012909714132547379,0.002310636453330517,0.008756834082305431,0.9943046681406417,0.9846724974811221,0.993131645695168,0.4498350271660025,0.8344335659830497,0.8316852757754383,densmap
11,112324.0625,0.00019754876848310232,0.003120115492492914,0.009016831405460835,0.9952593970548529,0.9822086780033311,0.9918091047308943,0.4568597613408443,0.8219771500267776,0.8238057405544134,densmap
12,112295.2890625,0.0002556559629738331,0.0032167492900043726,0.00908183678984642,0.9946950249438683,0.983488497829471,0.9928660779406766,0.45302643508987983,0.8171737846891141,0.8302878977816971,densmap
13,112301.2734375,0.00019241307745687664,0.003044552868232131,0.01055570226162672,0.9948601846956449,0.981315719129079,0.9910980130800223,0.475377954424353,0.7962842277533632,0.8115582044997229,densmap
14,112064.4609375,0.0009103640913963318,0.02292827144265175,0.0584576316177845,0.990175503295999,0.980149064356274,0.9783160227249361,0.46401954874487067,0.8037008139772132,0.7216446081907248,densmap
15,112277.3671875,0.0001803711347747594,0.002440084470435977,0.009489237330853939,0.9944202901000285,0.9809552988362965,0.9918742992197224,0.4738446790108792,0.8091125589131446,0.8204080256397542,densmap
16,112336.3671875,0.0003192827571183443,0.00466180220246315,0.008648686110973358,0.9954960394770497,0.9829517258396361,0.9922234223598954,0.4670877757236501,0.8057767919138035,0.808996374914883,densmap
17,112210.140625,0.0002889373863581568,0.0047709764912724495,0.01599999889731407,0.9931261041956804,0.9822061863401217,0.9907436888952861,0.46261840591478837,0.7992606838502907,0.813241298713203,densmap
18,112331.1875,0.00022509321570396423,0.0032759823370724916,0.008480697870254517,0.9954127642926633,0.9805537056232968,0.9912437874732237,0.4703333119820903,0.8041482790814073,0.8008853285533392,densmap
19,112271.7109375,0.00016169017180800438,0.003121770918369293,0.010190128348767757,0.9942683540597352,0.9845401248492605,0.9930330193757053,0.4316705274520508,0.8185340419543445,0.8336463139740087,densmap
20,110814.4375,0.002237962558865547,0.07353939116001129,0.3677876591682434,0.9581869948961687,0.5208235551679635,0.5479193523610928,0.08356864266745248,0.3159759077608947,0.5091275339167014,pca
21,38280.05859375,0.0005250917747616768,0.01719348318874836,0.07309059798717499,0.1390636083173526,0.8037697896721769,0.9488350023041837,0.285027641100288,0.4150112125215937,0.5770059853278957,pca
22,4891.82470703125,2.2653548512607813e-06,0.00021096644923090935,0.010707078501582146,0.0057214305562496535,0.9842561236252007,0.9950148592633627,0.4814790200328771,0.8594896638426935,0.824524671905167,pca
23,112391.25,0.0028084898367524147,0.09498853981494904,0.36754167079925537,0.9951840755293514,0.5110063779320888,0.5254920369588646,0.037760219738958024,-1.0,-1.0,pca
24,111126.1015625,0.0022170282900333405,0.07201968133449554,0.3268018066883087,0.9655132986523377,0.5190949214823704,0.5442361903195256,0.07092205156960193,-1.0,-1.0,pca
25,111697.390625,0.0007277473341673613,0.026894917711615562,0.15084606409072876,0.9833308004895585,0.9926469083418707,0.9921648561790224,0.5264407576689302,0.8939071428520795,0.8263088866626442,tsne
26,109977.453125,0.0008831759914755821,0.031068306416273117,0.13910293579101562,0.9507363998660305,0.9923296930053208,0.9855448457043605,0.5449399791384858,0.863668255309881,0.683746086755822,tsne
27,110145.7734375,0.0005209516966715455,0.020115582272410393,0.13788801431655884,0.9548504996554756,0.9928420805629707,0.9820035391293935,0.5564485696646987,0.8687799483981223,0.6978159454931152,tsne
